id,video_id,text,label
UgwPx9lHYmu8s6duWNd4AaABAg,HeGfRTka3TQ,Кыскасы ана мына деп отуруп каршы пикирлер менен калабердинер карочи бир созду айткым келди кураандагы хадистердин биринде жазылган аял заты ауратын горсотуп ачык чачык жургон коомдо еркектин пикири бузулуп знаа кобоёт деген азыр кыздар боёнуп жамбашын томпойтуп емчегин да самапал томпойтуп проститутка болуп калды анан кайдагы ыдык корсотконду суйлойсунор даже чоон еле ежелер чачын сары кызыл кылып боёп чампайган готуно шым кийип журсо анан кыздарынар албетте без труса журотда биринчи озунорду ондогула анан кыздарынар онолот анан синдинер онолот егер онолбойсунарбы анда бул маселени маралдык намыстык укугунар жок,hate
UgwP0ONRLKuNOsi3g5x4AaABAg,KSVY5SRkfn8,Колбаев! Тируу болгондо Ташиевди баш кылып туруп баардыгын башын жулмак! Аны бекеринен олтурушкон жок да!!!,offensive
UgwB_2jG9SOmqKzLg0l4AaABAg,va4UkKaVJ8k,Эдил байсалов колдойт буларды,non_hate
UgwIyGqg6mLeB8-ZeUt4AaABAg,va4UkKaVJ8k,Молодцы ЛГБТ коом деген нерсени туп тамыры менен жок кылгыла...,hate
Ugy5ev5HoRDWf3m_vkF4AaABAg,MzmJyHQlS5Y,Бийликтегилердин баары Матрайлар менен байланышы бар бизди мамлекеттик уурулар башкарып жатышат бир соо адам жок,non_hate
UgyJQGmRuvzkUk2iwxh4AaABAg,8W94yWJHw6A,"Бири бирне чабыштырып отуруп Кыргызстанды жеп жутасынар го акмактар,,батыштын акчасына тойбодунар го кээ бир журналисттер",hate
Ugw_YwOqlgcHa1r_zhB4AaABAg,MzmJyHQlS5Y,"Соке президенттике келбей эле койсон болмок, эн томонку денгээлдеги президент болуп тарыхта калды",non_hate
Ugwc0ATQbAHN8GhAYGV4AaABAg,8W94yWJHw6A,"Надира Нарматова акмак жеткен наадан экенсин, сенин созуно караганда Матраимов кредит алып зорго кутулду дейсин .Уят эмеспи ушул айткандарын , карапайым калк эч нерсени тушунбойт деп ойлойт окшойсун. Эл бапрын коруп билип олтурат.АКМАК.",hate
UgzHwdFJv-4JxzoUnPl4AaABAg,MzmJyHQlS5Y,Матраимов Райым шешен сс Бут эле элдин акчасын уурдап алыптыр. Ал акчаны жем чачкандай кичинеден продажныйларга чачып коюп журдуда ушуга чейин.,hate
UgznCXNjDsKal_52Kad4AaABAg,va4UkKaVJ8k,Жабыш керек бул акмактар атайын шарт тузуп беришкен жетекчиси,hate
UgzADiD_wgKiyCSqJ6h4AaABAg,9SK6boOSZX0,Ылайым Авгандар Бир жумада тажиктердин чумосун чыгарабыз дегени бар ошентсе анан коробуз бул жашо бумеранг бизге сасыган тажиктер.бутубузга жыгылат,hate
Ugwqc89ZyJSHQGMxGjl4AaABAg,bXQ7pHLuXSc,Эй торт коз журналис жакшы жумуш кылдым деп ойлоп атасынбы бийликтегилерден мактоо алам деп ойлодунбу акмак торт коз,hate
Ugx0a8orMOxza2Bl_ux4AaABAg,GE9a-UY4I7E,Абылгазиев неге алынбады иштен Окмот канча адамды олтуруп омурун алды,non_hate
UgzSNFj4TuehLpsUtr54AaABAg,8W94yWJHw6A,Кыргызстан мафия болуп кеткен экенда,non_hate
UgzxFuGYJO4Yr0P2N0V4AaABAg,rcF3WelvY18,Бул корунуш отоо чон трагедя чоон проблема окунучтуу коомду бузат булар акмактарды чекелен атса сооп болот булардын ата энелери жокпу Кудай сактай кор😮,hate
UgxAV5qAUVOj1rFQqjZ4AaABAg,9SK6boOSZX0,Молодец факт менен чыгып иштерине ийгилик. Кыргызстан онугуп тынчтыкта жашасын Алаахым жар болсун,non_hate
UgysM2iF2P0hBWpso_p4AaABAg,KSVY5SRkfn8,Камчы вор булардын тизгинин тартып турчу эледа бекеринен олтурушкон жок,non_hate
Ugz2WUkj4CW75ABrDYR4AaABAg,8W94yWJHw6A,"Чыныгы эле чон карупционерлерге тийишпейт , чон Кыргызстанды жеген карупционерлердин бири да отурган жок ,баары жургап журушот, элге калп айтып Элди алдап эле журушот",non_hate
Ugx0Q6CIkbxBNibnmZ14AaABAg,rcF3WelvY18,"Коомчулукта бул нерсени кантип дарылоого болот? Жабасызбы баарын - ачылат, Штраф саласызбы толойт, Оорууканага жаткызасызбы булар оорулуу эмес, булар баардык жерде бар кантебиз аял кишилерге билим берууну кучойтуп укугун коргоп тандоо бериш керек запрет салып кийимине эле маани бербей ошондо уул баланы эркек кыз баланы аял кылып тарбиялайтго . Буларга уже поздно",non_hate
Ugxa7OcfAXGt8RVf2yN4AaABAg,9SK6boOSZX0,Жоопко ким тартат буларды?Же жоопсуз азатыкта жүрө беришеби?,non_hate
UgxJNIVZvVJBbwtSjdp4AaABAg,MzmJyHQlS5Y,"Раим менен чогуу суротко тушкор ырчы блогер , спортсмендер сатквндар акчага сатылган кулдар ,",hate
UgwueuY7kyVs64OClzN4AaABAg,9SK6boOSZX0,Шох ОЗУ террорист болгон экенго убагында,offensive
Ugxx1pYC8S5zykl3Fyd4AaABAg,va4UkKaVJ8k,Акыретте өтө жаман ахвалда лгбт ларга каршы түшүндүрүү иштерин жүргүзүү керек Кудай алар менен сүйлөшпөйт түз тозокко кетирет дуал кылалы коомду таза сактап урпактарга өткөрүп берели,hate
UgxxdiusJXtHx2FBJ2l4AaABAg,rcF3WelvY18,Ар бир адам өз каалоосу боюнча жашаганга укугу бар. Голубойбу солубойбу өздөрү билет. Главный башкаларга зыяны тийбесе.,hate
Ugy0gL9EFGLO5E1tec14AaABAg,KSVY5SRkfn8,Не болуп атат озу,non_hate
UgwDbi9_3Sw_cKYoj1p4AaABAg,GE9a-UY4I7E,Алдабагыла олтурушкерек баткайты,hate
UgwNivb3rfExapFzuMF4AaABAg,bXQ7pHLuXSc,Максим бакиев озу иштеп таап анан олтурган жок ар кимди олтуруп уй куруп алган демек бул ак эмес ак жашаган жакшы биронун уй булосун кууратып аталарын олтуруп балдарын сыздаткан да ошол бева калган ыйлар тынч уктатпасын Кудай Кудай,non_hate
Ugwb899HXq7rj2anTKd4AaABAg,9SK6boOSZX0,Генерал Шохту олтуруу планын тузуш керек,hate
UgyRKmMlpdhGstt9-L94AaABAg,8W94yWJHw6A,Акмак жеп жутарлар,hate
UgwmrnlkkQqNheZ70SF4AaABAg,KSVY5SRkfn8,Көрөсүң кресло бийлик талаш явный эле болгон экен .аны Садырдын стукачтары билип калган дагы Ташиев Германиядан келип эле президенттике бир болсо отурмак Садырдын Ташиев жемкор деп алтындар кайда качкан катып жатасың деп аны переворот м-н түрмөгө тыкмак бул жер структура Садыр президент ошону приказы м-н күч структуралары м-н колго алып баарын кишендеп түрмөгө тыкты бирок эмнегедир репортаж теле сынакка чыгып бербей кетип калды себеби уялып калды окшойт УКМК бандасы бийликти алмак болгондугун 75чалдары менен бийликке алып күчтөрү жетпей калды ошого комментарий же сөзү жок кетип калды.,non_hate
Ugx8cR19Zmjaqrl23B14AaABAg,rcF3WelvY18,Штарав Салгыла Айовсуз Булжерде Бары Ахретини Ойлобогондор Окшойт Буларды Энелер Торогонбу Же Эшектен Пайда Болгонбу Тоба Тоба,offensive
Ugw_iAHLN4TubyEldj54AaABAg,va4UkKaVJ8k,Тунку клуб деп аты эле айтып. турат.. жабылсын!!! Жаштар туну менен темселеп ушундай жерлерде журушуп.. кундуз окуудан жок де иштеген иши жок..ата эненин мойнунда олтурушат жук болуп!!!,non_hate
UgyiFSvW0clmd_-aYv54AaABAg,bXQ7pHLuXSc,Максим оз мээнети м.н жашайт.Максимде баш бар,non_hate
UgyeuGMH-t62yLVPHbN4AaABAg,MzmJyHQlS5Y,Раим бирок жакшы адам,non_hate
UgxThGHtZLSmkGnQVUl4AaABAg,9SK6boOSZX0,Котко окшоп карап олтурдугу атбагыла деп буйрук берип туштон кийин Шох барекендеп хуйду жейсинер,hate
Ugz6FUz4mLl3EgDs4-h4AaABAg,rcF3WelvY18,"Ушул жалаптардын артынан жер тербеп, суу каптап кыямат блт, дуйно бузулганда",hate
Ugz67JGaTea450AD0Q94AaABAg,8W94yWJHw6A,Нарматова акмак аял кен,hate
Ugy6EBLsi8ezTw7X3Dl4AaABAg,8W94yWJHw6A,МАТРАИМОВДУ карапайым эл колдойт элге коп жардам берген чыккыла элге эшектин тезегин тердитип тентиткендер ким эле эмне кылып алды 2 мил ким кусту кетпеди элди атпады жэрди сатпады,non_hate
Ugw-yEdNBVPv9aS9_aF4AaABAg,HeGfRTka3TQ,"Намаз окуп, сулулугунарды жашырып мусульманча кийинип журсонор баары жакшы болот. корунгон менен суйлошуп учурашып журуп олтуруп жахилят дооруна кайра кайтып баратабыз. Ачык чачык журуп олтуруп Эркектер учун бир кумарын кандырчуу бир буюм катары болуп калдынар. Урушуп берсенер же ата эненерге айтсанар жакшы болмок. Озунор эркектерди кызыктырып шайтандын ургаачысы болуп турсанар. Ошондой эркектердин мучолорун кесип же эч нерсеге жарабагыс кылып коюш керек.",hate
UgynlIQOL7GuBnxHxY94AaABAg,9SK6boOSZX0,Тажиктер бирди коралбай жатат,non_hate
UgzG0J_OA0C6F3IuqTV4AaABAg,9SK6boOSZX0,Генерал шох менен не ишинер бар .ал деле кызматкерда .ошон учун биздин жетекчилер тормоз колунан эч нерсе келбейт,offensive
Ugwix_jg9TbpQeqtb_94AaABAg,8W94yWJHw6A,24саат тынбай иштеген аял баспай калбайбы!?Дооругон акмак акча Раимдин турткону учун депутат болгон да....,offensive
Ugw54CvoTn8rjOE3sfl4AaABAg,GE9a-UY4I7E,ТИГИ БУ ДЕП СУЙЛООРДУН АЛДЫ ЖАЛТАКТАБАЙ ТУРУП АЙТЫШ КЕРЕК.ПУТИН ЧЫГАРЫП КЕТТИ ДЕП.АЛМАС АТАМБАЕВ ПУТИНГЕ ЖАГАЛДАНАМ ДЕП ОШОНУ КОРМОК.БИР ЭКИ АЙТКАНДЫ УКПАЙ.КОЗУН МАЙ БАСЫП.,non_hate
UgyKivzQdDBX_H48u1x4AaABAg,9SK6boOSZX0,Бизде калкыбыздын жармы эле генералго,non_hate
Ugx8YL8By_LyEQWgP5h4AaABAg,GE9a-UY4I7E,"Силер эшексинерда Батукаев канча адамды өлтүрүп, канча адамды калека кылган",offensive
UgwLn7Cz4s0CqLkYuLZ4AaABAg,GE9a-UY4I7E,"Олуп калса болмок, аны олтурбой эмне кылат эленер, ал канчалаган кыргыздарды олтургон кыздарды зордуктаган, бул пидорду жолдон олтуруш керек болчу, кана жанагы кыйын болгон Камчынын балдары",hate
Ugyn1aXYXoUo_75K5Gl4AaABAg,9SK6boOSZX0,таджики но мне братья они персы враги мы турк язычный народ,hate
UgxF6U8uVrqYqGrRttB4AaABAg,9SK6boOSZX0,бети жок азабынарды Кудай берсин канча жаш жигиттер кайтыш болду тажикти коргум келбейт.,hate
UgxSeRYrSjZYdK9bXtl4AaABAg,8W94yWJHw6A,Колдонойлу деген соз жок Кыргызда !,non_hate
UgxT3wTx1ABmo9vynex4AaABAg,bXQ7pHLuXSc,Олтуруп кетиш керек суканы уйбулосу менен😈,hate
UgyfSDPD91QIJmUWObJ4AaABAg,9SK6boOSZX0,БУЛАРДЫН ДОЛЖ. ТА ИШТЕГЕНДЕРИНИН ДА ИШЕНИЧ КАЛБАДЫ ЭШЕКТЕР.,offensive
UgxT0g3upmbs9hT5rsx4AaABAg,iM4S3PDEGDg,Акмактар жон отурбайсынарбы,hate
UgzxpGPuDgiEZXhOivF4AaABAg,GE9a-UY4I7E,"Чартердик рейс менен учуп жатпайбы?! Атамбаев ошондой нерсени билбей калмак беле?! Анын устуно, неге ким бошоткону иликтенбеди!!?? Эч кимди иштен албаганы... Премьер министр да, билген Атамбаев да соттолуш кк",non_hate
UgwXUlPxedBgqDfhhKt4AaABAg,GE9a-UY4I7E,Зарылбек сенин нен кетти олгондой куусунда сени камаш керек болчу,offensive
UgwjU1VhFZ0u8HYJ1lt4AaABAg,GE9a-UY4I7E,Эшектер Куловтун кылганы,offensive
UgwNUa8AMS8Htfl9o9F4AaABAg,8W94yWJHw6A,Надира сен биринчи кетишин керек оз оордун менен,non_hate
UgyJ1DutCPct5Kgw0Pd4AaABAg,MzmJyHQlS5Y,Мен Бабановду эч канчан колдобойм...,non_hate
Ugwaxd2bUg3XW_L2PYR4AaABAg,rcF3WelvY18,ЛГБТ БИРО ТОЛО ЖОГОЛСУН КЫРГЫЗ ЖЕРИН БУЛГАБАЙ И УЛУТТУ БУЗУП АРАМ ИШКЕ ТУРТКОН БАТЫШ БУЗКУЛАРЫ БИРО ТОЛО ЖОГОЛСУН ❗❗⚠️⚠️,hate
UgymD_gp_XwiDAt_tD14AaABAg,9SK6boOSZX0,Кудай коруп турат дагы жер титиреп кочку басат тажиктерди озу тийишкенди жон койбош керек,offensive
UgyU1RqWRBb0JS3BChd4AaABAg,HeGfRTka3TQ,Бул мыйзамынар дагы кобунордун башынарды жейт себеби ушинтип уят болгондон горо олтуруп салсан он болот деши мумкун андан горо кайсар болуп кыска кийбей озунорду ондогула менин алтын эжелерим карындаштарым .,hate
UgxMj3GQS0CTZiPhHCp4AaABAg,bXQ7pHLuXSc,Продажный заказной журналистер..Бакиевтер ээчтеке апкетпеген...бул жердегиле тоноп болушунча Бакиевтерге тонкопкоюшкан акмактан.,offensive
UgxNGVfDWlD4ISSSVz54AaABAg,MzmJyHQlS5Y,ЭДИЛ БАЙСАЛОВ ТУУРА АЙТТЫ,non_hate
Ugwc42MI9ghPL7aU4wN4AaABAg,rcF3WelvY18,эненск бишкекте эркек балдар жокпу олорду олтуруп комуп салганы,hate
Ugh532ZrMbcMv3gCoAEC,GE9a-UY4I7E,бляааа вор деп суйлобо мамлекеттик адам,offensive
UgxDm2GEhkyFgEZAbQx4AaABAg,9SK6boOSZX0,"Баарын соттош керек же болбосо бирден таап олтуруш керек. Каргышка калган наркоман иттер, уй було бала чаканар менен кошо каргыш тийсин силерге. Уурдаган нерсенер тешип чыксын буйрубасын сукалар",hate
Ugwn0kiIeZKPQ3vu3bZ4AaABAg,rcF3WelvY18,Бүт байдын балдары соксон уят акмактар бири да аскерге барган эмес гарантия кедейлер служба кылабыз,offensive
UgzhkH1LfHe7kXvt8od4AaABAg,rcF3WelvY18,Ошол жердегилердин баарын автомат менен кырып атып салса сооп эле болот Алланын каары тушкон жай экен,hate
UgxPfPu28-vwGw7vme14AaABAg,va4UkKaVJ8k,Ушундай Акмактарды жок кылыш керек Кыргызстандан Атыш крк атыш Булар Кыргызды жок кылыш үчүн Батыштын жана Еврейлердин Шакалдары..........,hate
Ugw5eX_WyHNr4JW8sZ94AaABAg,bXQ7pHLuXSc,Максим Бакиевдин Кыргыз жергесиндеги гүлдөп-өсүп жаткан бизнестерин текшерилсе жакшы болмок.Бөлөк бирөөнүр атына катталган байлыктары дагы эле көп деп ойлойм.,non_hate
Ugz2sm69709UDhN3xK14AaABAg,KSVY5SRkfn8,Жел болбосо чоптун башы кыймылдабайт,non_hate
UgwbbVanMIsA5AXrCjp4AaABAg,MzmJyHQlS5Y,Бирок чынында ошол кезде эн коп добушту Бутун Кыргызстан алган. Аны басып акыркы кылып илип коюушкан. А бугун кыйкырып жаткандар ошол кезде Мекенчилди колдогон эмессинер. Мекеним Кыргызстан менен Биримдикте чуркап жургонсунор.,non_hate
Ugx-xgetKMgXfWCpsI94AaABAg,HeGfRTka3TQ,Ким эмне болсо озу ошого иштеп койгон эч нерсе себебсиз болбойт уят жон эле ушундай болду десе мисалы мени олтуруп кетсе мен уже иштеп койгон болом да ошондой,non_hate
UgzhM2kiQfZZNOktkg14AaABAg,KSVY5SRkfn8,"Жапаровшо баары жеткенде башталыптыр да,досуга ишеним журо бергенге Жапаров оозун ачып,Еолбаевди олтуруп кучуктору дагы эле Кучук болушуптур да,Ташиев жакшы иштешени менен бул эмнеси",non_hate
Ugw8txxUjr8Gz7VZrFd4AaABAg,KSVY5SRkfn8,Коррупция Кыргызстанда жоголбойт экенда,non_hate
Ugzxx2BPSfvxs5_dpy54AaABAg,8W94yWJHw6A,Эми карапайым елге миллионду жеп туруп 2 жуз миңди чачып койсо ошол жакшы боло берет Эжее. Ошондо 800 жүз миң пайда кылып атабы. Коток жей бербей мамлекет иштегиле,offensive
Ugy7uSpJH-GuhEYX5aV4AaABAg,MzmJyHQlS5Y,Жанар сен деле Матраимовдун тойлорунда журдун го.,non_hate
Ugwmab9MiaPTUUdrPc94AaABAg,GE9a-UY4I7E,Олбос болдуго Бир кезде люкта жаткан ошондо неге тонкойгон жок акун тулку.,offensive
UgwD-f6bp8Ns1KuLxLh4AaABAg,KSVY5SRkfn8,Койлорум тууса атарын Пито возлин лизун кучук деп атап коё,offensive
Ugw8k2B6Nf1KU3i0XO54AaABAg,bXQ7pHLuXSc,Хуйна эле уй экенго кыргызстандагы бажы началнигинин уйун карагылачы,non_hate
Ugw5Y9PHXWMjFOp1_t54AaABAg,rcF3WelvY18,Ушундай бузукучулуктун айынан жер жузун апаат каптап жатат ушундай когуш жалаптык ыпластыктын айынан жер жутат скоро ээх кордуко Турцияны жер жуту жер титироолор болуп 😢😢 бизгеда жетет,non_hate
Ugy0OpjauxFLzLPrqeZ4AaABAg,HeGfRTka3TQ,Урматтуу азаттык эгер ушунчалык эле акыйкат болсоңор эмнеге кыздардын көбү ачык эле тамеки тартып калышты эмнеге оозго алгыс сөздөр менен сөгүнүп калышты эмнеге спирт ичимдиктерин ичип алып күч органдарынын өкүлдөрүн кууп жүрүшөт (кайгуул тв) карап көргүлө. Кыздар бузулуп бара жатат. Ушул көйгөйдү көтөрүп чыккыла да,non_hate
UgzbSb7HiG2kYZc1JJJ4AaABAg,rcF3WelvY18,Ушул акмак малдан дагы томон тушуп кеткен акмактарды жоготкулачы 😢,hate
UgzL-gancasshHo8CUN4AaABAg,mOGb4Wzdbv4,Аттиң арман кыргызым кантип адашып Байсалов Едил деген гейди ушундай жумушта иштеттик Аллахым озу кечирсин бизди.,hate
UgzPit_VyvsoJPikjz54AaABAg,va4UkKaVJ8k,Жаштар чегип ичип жургонун коруп тургандар админи Адам падам га кошулбайт,hate
UghREiFNUW3XQHgCoAEC,GE9a-UY4I7E,бийликтегилер бети жок эшектер.бирин камап Уруп соккондо чирик ачылат эле.балык башынан сасыган .асылбайт!!!!,offensive
Ugzm-3id1cPVG9logh14AaABAg,8W94yWJHw6A,Буларга милярт бир милондой.жоккылгыла акмак ашкорлорду.,hate
UgwYuodQ1wPFDDiFz0p4AaABAg,fIXFhZQ1Irg,Дозоктун отундары эшектер,hate
Ugy66-XFeJQyPOtVdbp4AaABAg,va4UkKaVJ8k,Бишкекте ушунлайлар бар деп ойлогон эмесмин,non_hate
UgyfK2LAEpsUQukuX2V4AaABAg,mOGb4Wzdbv4,Урматтуу эл окурлдору сиздерди эл ишенип шайлаган. Оз милдетинерди так аткаргыла Бул адам кейпин кийген шайтандарды кыргыз жарандыгынан ажыратып европага яамерикага айдаш керек. Нпо менен жашай берсин . Элим бул эшектерге богот койбосок болбойт. Эл окулдордон талап кылалы кыргызстанда гейлердин укугу жок деп баш мыйзамга жазып койолу .,hate
Ugy1_7Zgsxv5b82AgaB4AaABAg,GE9a-UY4I7E,Батухаевди бошотконго жардамдашкан атка минер акмактар - өлүп эле калбапсыңар .Кыргызды шерменде кылдыңар го .,hate
UgzshRZR1Rfh6sWlvON4AaABAg,9SK6boOSZX0,Ээй генерал сага олум блятдь!,hate
UgwuSne3gOS6E0ZbtbR4AaABAg,KSVY5SRkfn8,Сразу эле баардыгын берсе ущул да.маши6а сакчы бекер жашоо. Кооп кетишкен.,non_hate
UgwGl0iNnmpYvsbah3t4AaABAg,8W94yWJHw6A,Ушу Надира Нарматовабы иши кылып Раимдин котун жалап журуп кайра тааныбайм дейт муну созсуз жоготуш керек такыр Парламентке жолотпош керек,hate
UgyHlqKNfPE6Uucf9MB4AaABAg,HeGfRTka3TQ,Маладец айзада сана окшоп ошол кыздар журналист той алпарган болсо озун айткандай секистешип кетет эле да,non_hate
UgzDf_ztv9A200bHTbV4AaABAg,va4UkKaVJ8k,"Менин эркиме коюп , мамлекет уруксат бергенде , сойкулук менен алектенгендерди. эл астына алып чыгып , ташбаранга алдырмакмын . Голубой , лизбиянка , наркоман дегендердин баарын батышты көздөй айдамакбыз .",hate
UgySeWnmAYd6nsZvVbt4AaABAg,GE9a-UY4I7E,Зарылбек акмаксың да калп айтпачы?,hate
UgwS0m7JVZiY1Sm32cp4AaABAg,KSVY5SRkfn8,"Эй эксперт далдырабачы!!!! Эду нарын дык жонокой эле жургон бала болчу ,бирок жакшы окуган бардар Уй булонун баласы, жанындагылар кенедей кездеринен эле дос классташ,группалаштары!!!баары Тен эле намаз окуган карапайым эле Уй булонун кадимкидей эле жонокой эле жургон балдар болчу!!! Жаштык кылып коюшту го!!! бийликтин указаниясын билбей кылып алышты го дейм мен",non_hate
UgwiuFwqdTYI6E9CQnh4AaABAg,rcF3WelvY18,созсуз турбо жабылсын,non_hate
UgzW3XybFTpt129HGqB4AaABAg,bXQ7pHLuXSc,"5миллион баран калды .,дедин эле.Ошол 5 миллионго рахмат айт акчасына жашап атасын да акмак.",offensive
UgweLRCGL0eo5gfZf7x4AaABAg,GE9a-UY4I7E,өзүбүздүн арстандарды олтуруп бул акмакты килемде узаткан малдар жакшылык корбогуло,offensive
Ugws6S-9i5sSekQpwHF4AaABAg,KSVY5SRkfn8,Эми тушундунор да неге Ташиевти жумуштан алды,non_hate
Ugy6m7Vgl9kcj2gGV3p4AaABAg,fIXFhZQ1Irg,Это не марш солидарности. А марш манкуртизации будущего поколения,non_hate
UgyP4wm6KnxbcYPM7eV4AaABAg,va4UkKaVJ8k,"Бля ушундай ыплас жер ыпдас адамдар балдар, кыздар фуууу бля.",hate
UgysAHmxMhyyfi0tZEN4AaABAg,9SK6boOSZX0,"Генерал фашист экен, террорист озундун элин жазалайт убакыт келип, карапайым тажик эли тушунбой жаттатта азыр ,бул агресоорду озун олтуруп салышса болмок",offensive
UgziLSXeBO3ftlDLWiR4AaABAg,8W94yWJHw6A,Эн бай конкурентти ыргытты.,non_hate
Ugw1y5FubLU1F_WeY194AaABAg,KSVY5SRkfn8,Каап шефи буйрук берсе эле ЧУРКАП барып баса калчу окшойт бул эду деген БУЙРУК БЕРГЕНДЕ МЫЙЗАМДУБУ ОШОНУ КАРСА БОЛМОК,non_hate
UgxnHRNCfzmJi53kr7h4AaABAg,KSVY5SRkfn8,"Башка өлкөлөргө шылдың эле болуп жатабыз,Ташиев карараактарды өлтүрүп,тазалап өзү чылгый эле карпкара топту түзүп элди ойнотуп жүргөн турбайбы.Кайран,байкуш эле эл экенбиз😢",non_hate
Ugj11q-A0AR5RHgCoAEC,GE9a-UY4I7E,биздин бийлик продажный 1миллион долларга кот.к сорушат пидрлар,hate
